"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"MRRTY","Marfrig Alimentos SA Sponsored ADRs","Pink","Brazil","BS:MRFG3","XBSP","Consumer Staples","$3,180,301,600","30.46%","5,105","Analyze"
"KPLUY","K+S AG Sponsored ADRs","OTCQX","Germany","GF:SDF","Frankfurt Stock Exchange","Materials","$3,138,960,000","4.98%","1,000","Analyze"
"OSTIY","Osterreichische Post AG Sponsored ADRs","Pink","Austria","AV:POST","Wiener Boerse Ag","Industrials","$3,120,931,876","6.93%","0","Analyze"
"AKBTY","Akbank TAS Sponsored ADRs","OTCQX","Turkey","TI:AKBNK","Istanbul Stock Exchange","Financials","$3,092,700,000","2.49%","1,197","Analyze"
"AFLYY","Air France-KLM SA Sponsored ADRs","Pink","France","FP:AF","Euronext Paris","Industrials","$3,017,166,790","0.00%","64,490","Analyze"
"ALBKY","Alpha Bank AE Sponsored ADRs","Pink","Greece","GA:ALPHA","Athens Exchange S.A. Cash Market","Financials","$3,002,855,804","0.00%","2,040","Analyze"
"AGLXY","AGL Energy Limited Sponsored ADRs","Pink","Australia","AT:AGL","Asx - All Markets","Utilities","$2,929,787,235","14.61%","3,215","Analyze"
"THNPY","Technip Energies S/Adrs","Pink","France","FP:TE","Euronext Paris","Energy","$2,920,397,934","0.00%","31,780","Analyze"
"SHALY","Shangri-La Asia Limited Sponsored ADRs","Pink","Hong Kong","HK:0069","Hong Kong Exchange","Consumer Discretionary","$2,877,383,861","0.00%","501","Analyze"
"PUODY","Promotora y Operadora de Infraestructura SA Sponsored ADRs","Pink","Mexico","MM:PINFRA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$2,834,581,089","3.17%","35","Analyze"
"JIXAY","Jiangxi Copper Company Limited Sponsored ADRs","Pink","China","HK:0358","Hong Kong Exchange","Materials","$2,779,126,446","0.12%","360","Analyze"
"SUBCY","Subsea 7 S.A. Sponsored ADRs","Pink","Norway","NO:SUBC","Oslo Bors Asa","Energy","$2,770,500,000","2.35%","27,062","Analyze"
"ARGGY","Aston Mt Lgnd Uns/Adrs","Pink","United Kingdom","","","Unknown","$2,769,272,695","0.00%","8,208","Analyze"
"TRKNY","Turk Telekomunikasyon A.S. Unsponsored ADRs","Pink","Turkey","TI:TTKOM","Istanbul Stock Exchange","Communication Services","$2,765,000,000","7.89%","11,361","Analyze"
"CGUSY","Casino Guichard-Perrachon SA Sponsored ADRs","Pink","France","FP:CO","Euronext Paris","Consumer Staples","$2,754,026,242","71.56%","112","Analyze"
"KCDMY","Kimberly-Clark de Mexico SAB de CV Sponsored ADRs","Pink","Mexico","MM:KIMBERA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$2,596,398,131","21.21%","22,491","Analyze"
"TBLMY","Tiger Brands Limited Sponsored ADRs","Pink","South Africa","SJ:TBS","Johannesburg Stock Exchange","Consumer Staples","$2,583,435,583","62.97%","555","Analyze"
"AMLYY","AMP Limited Sponsored ADRs","Pink","Australia","AT:AMP","Asx - All Markets","Financials","$2,514,901,506","5.88%","190","Analyze"
