"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"RWEOY","RWE AG Sponsored ADRs","Pink","Germany","GF:RWE","Frankfurt Stock Exchange","Utilities","$25,385,300,602","0.00%","61,708","Analyze"
"CRHKY","China Resources Beer (Holdings) Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0291","Hong Kong Exchange","Consumer Staples","$25,320,800,751","2.53%","602","Analyze"
"UNICY","Unicharm Corporation Sponsored ADRs","Pink","Japan","JT:8113","Tokyo Stock Exchange","Consumer Staples","$25,143,789,920","0.68%","71,464","Analyze"
"OPYGY","Polyus Gold PJSC Sponsored ADRs","Pink","Russia","RX:PLZL","Standard-Classica-Forts","Materials","$24,846,423,780","0.00%","671","Analyze"
"SWDBY","Swedbank AB Sponsored ADRs Class A","Pink","Sweden","SS:SWED-A","Nasdaq Omx Nordic","Financials","$24,425,853,466","6.78%","20,893","Analyze"
"AMKBY","A.P Moller-Mrs Uns/Adrs","Pink","Denmark","DC:MAERSK-A","Omx Nordic Exchange Copenhagen A/S","Industrials","$24,398,466,939","1.76%","38,256","Analyze"
"SVNLY","Svenska Handelsbanken AB Uns/Adrs","Pink","Sweden","SS:SHB-A","Nasdaq Omx Nordic","Financials","$24,251,371,248","9.93%","194,029","Analyze"
"TLPFY","Teleperformance Unsp/Adrs","Pink","France","FP:RCF","Euronext Paris","Industrials","$24,192,842,688","1.17%","3,013","Analyze"
"KMTUY","Komatsu Ltd. Sponsored ADRs","Pink","Japan","JT:6301","Tokyo Stock Exchange","Industrials","$23,958,849,596","2.92%","163,323","Analyze"
"SSEZY","SSE plc Sponsored ADRs","Pink","United Kingdom","LN:SSE","London Stock Exchange","Utilities","$23,824,492,930","3.62%","16,168","Analyze"
"KLBAY","Klabin SA Sponsored ADRs","Pink","Brazil","BS:KLBN11","XBSP","Materials","$23,806,600,800","0.05%","3,265","Analyze"
"KRYAY","Kerry Group Plc Sponsored ADRs","Pink","Ireland","ID:KRZ","Irish Stock Exchange - All Market","Consumer Staples","$23,726,558,655","0.66%","5,490","Analyze"
"EJPRY","East Japan Rwy Unsp/Adrs","Pink","Japan","JT:9020","Tokyo Stock Exchange","Industrials","$23,651,009,592","1.44%","77,975","Analyze"
"MLYBY","Malayan Banking Bhd. Sponsored ADRs","Pink","Malaysia","MK:1155","Bursa Malaysia","Financials","$23,298,975,786","13.17%","1,873","Analyze"
"CLPHY","CLP Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0002","Hong Kong Exchange","Utilities","$23,195,218,520","32.16%","46,862","Analyze"
"TELNY","Telenor ASA Sponsored ADRs","Pink","Norway","NO:TEL","Oslo Bors Asa","Communication Services","$23,175,025,026","54.35%","39,449","Analyze"
"LGGNY","Legal & General Group Plc Sponsored ADRs","Pink","United Kingdom","LN:LGEN","London Stock Exchange","Financials","$23,163,290,745","0.92%","48,603","Analyze"
"OTSKY","Otsuka Holdings Co Adrs","Pink","Japan","","","Unknown","$23,127,864,681","2.13%","0","Analyze"
"CTTAY","Continental AG Sponsored ADRs","Pink","Germany","GF:CON","Frankfurt Stock Exchange","Consumer Discretionary","$22,681,678,502","46.22%","45,744","Analyze"
"SGSOY","SGS SA Adrs","Pink","Switzerland","VX:SGSN","Six Swiss - Blue Chips Segment","Industrials","$22,642,491,672","3.08%","25,880","Analyze"
"SZKMY","Suzuki Motor Co Unsp/Adrs","Pink","Japan","JT:7269","Tokyo Stock Exchange","Consumer Discretionary","$22,640,124,127","48.81%","5,015","Analyze"
"DTCWY","Deutsche Wohnen Unsp/Adrs","Pink","Germany","","","Unknown","$22,614,654,539","3.37%","0","Analyze"
"KYOCY","Kyocera Corporation Sponsored ADRs","Pink","Japan","JT:6971","Tokyo Stock Exchange","Information Technology","$22,521,172,111","2.02%","14,353","Analyze"
"UCBJY","UCB SA Unsp/Adrs","Pink","Belgium","BB:UCB","Nyse Euronext - Euronext Brussels","Health Care","$22,399,271,575","2.21%","30,874","Analyze"
"IESFY","Interconexion Electrica SA ESP Sponsored ADRs","OTCQX","Colombia","CX:ISA","Bolsa De Valores De Colombia","Utilities","$22,220,018,554","29.09%","0","Analyze"
"LSRCY","Lasertec Corp Unsp/Adrs","Pink","","","","Unknown","$22,204,447,200","0.29%","0","Analyze"
"EDPFY","EDP-Energias de Portugal SA Sponsored ADRs","Pink","Portugal","PL:EDP","Nyse Euronext - Euronext Lisbon","Utilities","$22,136,431,398","0.34%","19,708","Analyze"
"NSANY","Nissan Motor Co Ltd Sponsored ADRs","Pink","Japan","JT:7201","Tokyo Stock Exchange","Consumer Discretionary","$21,947,718,582","0.00%","139,034","Analyze"
"HVRRY","Hannover Ruck SE Sponsored ADRs","Pink","Germany","GF:HNR1","Frankfurt Stock Exchange","Financials","$21,712,308,005","5.00%","20,968","Analyze"
"HENKY","Henkel AG & Co. KGaA Sponsored ADRs","Pink","Germany","GF:HEN","Frankfurt Stock Exchange","Consumer Staples","$21,604,728,883","8.90%","20,558","Analyze"
"ATLCY","Atlas Copco AB Sponsored ADRs Class B","Pink","Sweden","SS:ATCO-B","Nasdaq Omx Nordic","Industrials","$21,475,703,105","2.89%","6,295","Analyze"
"MITEY","Mitsubishi Est Unsp/Adrs","Pink","Japan","","","Unknown","$21,405,116,934","1.45%","0","Analyze"
"ESALY","Eisai Co. Ltd. Sponsored ADRs","Pink","Japan","JT:4523","Tokyo Stock Exchange","Health Care","$21,357,268,832","2.11%","9,472","Analyze"
"AVVIY","Aviva plc Sponsored ADRs","Pink","United Kingdom","LN:AV","London Stock Exchange","Financials","$21,116,317,534","1.95%","125,858","Analyze"
"AKZOY","Akzo Nobel N.V. Sponsored ADRs","OTCQX","The Netherlands","NA:AKZA","Nyse Euronext - Euronext Amsterdam","Materials","$20,931,002,427","4.08%","70,494","Analyze"
"SGIOY","Shionogi & Co Unsp/Adrs","Pink","Japan","JT:4507","Tokyo Stock Exchange","Health Care","$20,926,126,841","1.50%","87,906","Analyze"
"OMVKY","OMV AG Sponsored ADRs","Pink","Austria","AV:OMV","Wiener Boerse Ag","Energy","$20,912,727,255","2.90%","4,355","Analyze"
"IMBBY","Imperial Brands PLC Sponsored ADRs","OTCQX","United Kingdom","LN:IMB","London Stock Exchange","Consumer Staples","$20,697,945,169","6.31%","855,540","Analyze"
"REPYY","Repsol SA Sponsored ADRs","OTCQX","Spain","SM:REP","Bolsa De Madrid","Energy","$20,574,024,834","0.00%","86,061","Analyze"
"HLDCY","Henderson Land Development Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0012","Hong Kong Exchange","Real Estate","$20,333,825,413","42.86%","30,568","Analyze"
"ASBFY","Associated British Foods plc Sponsored ADRs","Pink","United Kingdom","LN:ABF","London Stock Exchange","Consumer Staples","$19,918,522,444","0.25%","28,633","Analyze"
"OMRNY","OMRON Corporation Sponsored ADRs","Pink","Japan","JT:6645","Tokyo Stock Exchange","Information Technology","$19,820,132,199","87.41%","10,992","Analyze"
"GBOOY","Grupo Financiero Banorte SAB de CV Sponsored ADRs Class O","OTCQX","Mexico","MM:GFNORTEO","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Financials","$19,535,418,431","9.35%","17,330","Analyze"
"EBKDY","Erste Group Bank AG Sponsored ADRs","Pink","Austria","AV:EBS","Wiener Boerse Ag","Financials","$19,495,728,000","2.41%","46,659","Analyze"
"ASMIY","ASM International N.V. ADRs","OTCQX","The Netherlands","NA:ASM","Nyse Euronext - Euronext Amsterdam","Information Technology","$19,388,665,060","0.51%","0","Analyze"
"TSYHY","TravelSky Technology Ltd. Sponsored ADRs","Pink","China","HK:0696","Hong Kong Exchange","Information Technology","$19,238,712,800","0.08%","4,066","Analyze"
"UPMMY","UPM-Kymmene Corp Unsponsored ADRs","Pink","Finland","FH:UPM","Nasdaq Omx Helsinki Ltd.","Materials","$19,219,822,521","3.61%","24,553","Analyze"
"SGTZY","Surgutneftegas PJSC Sponsored ADRs","Pink","Russia","RX:SNGS","Standard-Classica-Forts","Energy","$18,809,736,215","13.30%","124","Analyze"
"VEOEY","Veolia Environnement SA Sponsored ADRs","Pink","France","FP:VIE","Euronext Paris","Utilities","$18,743,720,332","2.16%","52,934","Analyze"
"SYIEY","Symrise Ag Unsp/Adrs","Pink","Germany","GF:SY1","Frankfurt Stock Exchange","Materials","$18,589,683,182","2.92%","22,468","Analyze"
"CABGY","Carlsberg A/S Sponsored ADRs Class B","Pink","Denmark","DC:CARL-B","Omx Nordic Exchange Copenhagen A/S","Consumer Staples","$18,512,976,086","66.29%","96,602","Analyze"
"OCDDY","Ocado Group Plc Spns/Adrs","Pink","United Kingdom","LN:OCDO","London Stock Exchange","Consumer Discretionary","$18,495,576,609","0.00%","15,773","Analyze"
"WOPEY","Woodside Petroleum Ltd Sponsored ADRs","Pink","Australia","AT:WPL","Asx - All Markets","Energy","$18,238,774,647","2.23%","108,374","Analyze"
"SCHYY","Sands China Ltd Unsp/Adrs","Pink","Hong Kong","HK:1928","Hong Kong Exchange","Consumer Discretionary","$17,950,692,914","0.00%","109,641","Analyze"
"SSUMY","Sumitomo Corporation Sponsored ADRs","Pink","Japan","JT:8053","Tokyo Stock Exchange","Industrials","$17,833,598,780","4.36%","81,453","Analyze"
"MTNOY","MTN Group Limited Sponsored ADRs","Pink","South Africa","SJ:MTN","Johannesburg Stock Exchange","Communication Services","$17,733,417,890","4.90%","10,343","Analyze"
"NHYDY","Norsk Hydro ASA Sponsored ADRs","OTCQX","Norway","NO:NHY","Oslo Bors Asa","Materials","$17,669,245,277","14.64%","125,382","Analyze"
"OEZVY","VERBUND AG Sponsored ADRs","Pink","Austria","AV:VER","Wiener Boerse Ag","Utilities","$17,551,093,027","3.64%","315","Analyze"
"KNRRY","Knorr-Bremse Unsp/Adrs","Pink","Germany","GY:KBX","Deutsche Boerse Xetra","Industrials","$17,486,976,000","5.65%","12,671","Analyze"
"PUBGY","Publicis Groupe SA Sponsored ADRs","OTCQX","France","FP:PUB","Euronext Paris","Communication Services","$17,378,089,581","11.66%","27,590","Analyze"
"VDMCY","Vodacom Group Limited Sponsored ADRs","Pink","South Africa","SJ:VOD","Johannesburg Stock Exchange","Communication Services","$17,202,054,685","88.05%","4,888","Analyze"
"JBSAY","JBS S.A. Sponsored ADRs","OTCQX","Brazil","BS:JBSS3","XBSP","Consumer Staples","$17,125,945,951","14.79%","43,345","Analyze"
"TLSNY","Telia Company Ab Unsp/Adrs","Pink","Sweden","","","Communication Services","$17,074,212,356","3.10%","0","Analyze"
"RKUNY","Rakuten Inc Sponsored ADRs","Pink","Japan","JT:4755","Tokyo Stock Exchange","Consumer Discretionary","$17,014,832,643","41.78%","34,025","Analyze"
"AVIFY","Advanced Info Service Public Co. Ltd. Sponsored ADRs","Pink","Thailand","TB:ADVANC","Stock Exchange Of Thailand","Communication Services","$16,921,637,751","4.27%","632","Analyze"
"OAOFY","TATNEFT PJSC Sponsored ADRs","Pink","Russia","RX:TATN","Standard-Classica-Forts","Energy","$16,892,115,243","61.95%","3,436","Analyze"
"NPSCY","NIPPON STEEL CORP. Sponsored ADRs","Pink","Japan","JT:5401","Tokyo Stock Exchange","Materials","$16,602,114,893","57.14%","750","Analyze"
"AJINY","Ajinomoto Co Unsp/Adrs","Pink","Japan","","","Unknown","$16,392,526,117","1.55%","0","Analyze"
"ATEYY","Advantest Corp. Sponsored ADRs","Pink","Japan","JT:6857","Tokyo Stock Exchange","Information Technology","$16,332,544,457","1.61%","11,598","Analyze"
"KNBWY","Kirin Holdings Company Limited Sponsored ADRs","Pink","Japan","JT:2503","Tokyo Stock Exchange","Consumer Staples","$16,324,040,000","2.28%","38,051","Analyze"
"CLLDY","CapitaLand Limited Sponsored ADRs","Pink","Singapore","SP:C31","Singapore Exchange","Real Estate","$16,155,922,934","1.50%","5,375","Analyze"
"RYCEY","Rolls-Royce Holdings PLC Sponsored ADRs","Pink","United Kingdom","LN:RR","London Stock Exchange","Industrials","$15,982,110,249","8.12%","2,449,494","Analyze"
"NVZMY","Novozymes A/S Unsp/Adrs","Pink","Denmark","DC:NZYM-B","Omx Nordic Exchange Copenhagen A/S","Materials","$15,968,817,744","0.00%","9,736","Analyze"
"HENOY","Henkel AG & Co. KGaA Sponsored ADRs Pfd","Pink","Germany","GY:HEN3","Deutsche Boerse Xetra","Consumer Staples","$15,947,715,267","8.27%","15,276","Analyze"
"BDORY","Banco do Brasil S.A. Sponsored ADRs","Pink","Brazil","BS:BBAS3","XBSP","Financials","$15,817,101,950","32.96%","308,157","Analyze"
"JBAXY","Julius Baer Grp Unsp/Adrs","Pink","Switzerland","VX:BAER","Six Swiss - Blue Chips Segment","Financials","$15,681,768,498","12.49%","139,039","Analyze"
"RTOKY","Rentokil Initial plc Sponsored ADRs","Pink","United Kingdom","LN:RTO","London Stock Exchange","Industrials","$15,624,346,771","0.18%","65,230","Analyze"
"DNKEY","Danske Bank A/S Sponsored ADRs","Pink","Denmark","DC:DANSKE","Omx Nordic Exchange Copenhagen A/S","Financials","$15,536,394,433","0.00%","6,119","Analyze"
"SGBLY","Standard Bank Group Limited Sponsored ADRs","Pink","South Africa","SJ:SBK","Johannesburg Stock Exchange","Financials","$15,446,700,000","62.93%","35,181","Analyze"
"PEXNY","PTT Exploration & Production Plc Sponsored ADRs","Pink","Thailand","TB:PTTEP.F","Stock Exchange Of Thailand","Energy","$15,363,843,498","2.00%","144","Analyze"
"POAHY","Porsche Autombl Unsp/Adrs","Pink","Germany","GY:PAH3","Deutsche Boerse Xetra","Consumer Discretionary","$15,327,046,875","22.08%","342,337","Analyze"
"NCMGY","Newcrest Mining Limited Sponsored ADRs","Pink","Australia","AT:NCM","Asx - All Markets","Materials","$15,025,891,601","2.99%","35,638","Analyze"
"AHKSY","Asahi Kaisei Crp Unsp/Adrs","Pink","Japan","JT:3407","Tokyo Stock Exchange","Materials","$14,831,436,820","2.77%","55,372","Analyze"
"TEZNY","Terna Rete Elettrica Adrs","Pink","Italy","IM:TRN","Borsa Italiana S.P.A.","Utilities","$14,679,641,566","0.82%","13,372","Analyze"
"SKHSY","Sekisui House Ltd. Sponsored ADRs","Pink","Japan","JT:1928","Tokyo Stock Exchange","Consumer Discretionary","$14,508,442,645","3.94%","14,994","Analyze"
"UMICY","Umicore Sa Unsp/Adrs","Pink","Belgium","","","Unknown","$14,488,320,000","5.10%","30,767","Analyze"
"MHGVY","Mowi ASA Sponsored ADRs","Pink","Norway","NO:MOWI","Oslo Bors Asa","Consumer Staples","$14,437,741,661","0.72%","18,290","Analyze"
"MKTAY","Makita Corporation Sponsored ADRs","Pink","Japan","JT:6586","Tokyo Stock Exchange","Industrials","$14,381,699,827","1.14%","26,161","Analyze"
"SWMAY","Swedish Match Ab Unsp/Adrs","Pink","Sweden","SS:SWMA","Nasdaq Omx Nordic","Consumer Staples","$14,141,000,000","11.58%","26,733","Analyze"
"SKHHY","Sonic Healthcare Sp/Adrs","Pink","Australia","","","Unknown","$14,056,913,828","3.10%","25,093","Analyze"
"CRRFY","Carrefour SA Sponsored ADRs","Pink","France","FP:CA","Euronext Paris","Consumer Staples","$13,871,415,624","13.64%","112,165","Analyze"
"SOLVY","Solvay SA Sponsored ADRs","OTCQX","Belgium","BB:SOLB","Nyse Euronext - Euronext Brussels","Materials","$13,774,521,722","17.31%","915","Analyze"
"LNVGY","Lenovo Group Limited Sponsored ADRs","Pink","Hong Kong","HK:0992","Hong Kong Exchange","Information Technology","$13,769,690,376","0.17%","29,186","Analyze"
"SOUHY","South32 Ltd Spns/Adrs","Pink","Australia","","","Unknown","$13,608,128,612","0.34%","0","Analyze"
"PANDY","Pandora A/S Sponsored ADRs","Pink","Denmark","DC:PNDORA","Omx Nordic Exchange Copenhagen A/S","Consumer Discretionary","$13,544,000,000","1.17%","10,672","Analyze"
"KKPNY","Royal KPN NV Sponsored ADRs","Pink","The Netherlands","NA:KPN","Nyse Euronext - Euronext Amsterdam","Communication Services","$13,386,059,427","4.14%","81,442","Analyze"
"TTDKY","TDK Corporation Sponsored ADRs","Pink","Japan","JT:6762","Tokyo Stock Exchange","Information Technology","$13,292,113,894","1.51%","6,921","Analyze"
"YARIY","Yara International ASA Sponsored ADRs","Pink","Norway","NO:YAR","Oslo Bors Asa","Materials","$13,092,897,228","9.08%","24,613","Analyze"
"BMBOY","Grupo Bimbo SAB de CV Sponsored ADRs","Pink","Mexico","MM:BIMBOA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$12,985,193,236","8.62%","0","Analyze"
"QBIEY","QBE Insurance Group Limited Sponsored ADRs","Pink","Australia","AT:QBE","Asx - All Markets","Financials","$12,934,251,830","0.98%","14,929","Analyze"
"TNABY","Tenaga Nasional Bhd Sponsored ADRs","Pink","Malaysia","MK:5347","Bursa Malaysia","Utilities","$12,826,444,673","4.46%","1,712","Analyze"
"SLVYY","SOLVAY SA UNSP/ADRs","OTCQX","Belgium","","","Unknown","$12,821,633,978","18.58%","0","Analyze"
"SUTNY","Sumitomo Mitsui Trust Holdings Inc Sponsored ADRs","Pink","Japan","JT:8309","Tokyo Stock Exchange","Financials","$12,797,438,104","3.67%","143,240","Analyze"
"SDXAY","Sodexo SA Sponsored ADRs","Pink","France","FP:SW","Euronext Paris","Consumer Discretionary","$12,776,965,959","18.49%","15,502","Analyze"
"COVTY","Covestro AG Sponsored ADRs","Pink","Germany","GY:1COV","Deutsche Boerse Xetra","Materials","$12,650,736,000","3.97%","16,264","Analyze"
"CCHGY","Coca-Cola HBC AG Sponsored ADRs","Pink","Switzerland","LN:CCH","London Stock Exchange","Consumer Staples","$12,572,977,638","1.86%","1,087","Analyze"
"IMPUY","Impala Platinum Holdings Limited Sponsored ADRs","OTCQX","South Africa","SJ:IMP","Johannesburg Stock Exchange","Materials","$12,504,192,827","9.79%","126,366","Analyze"
"BKHYY","Bank Hapoalim BM Sponsored ADRs","Pink","Israel","IT:POLI","Tel Aviv Stock Exchange","Financials","$12,457,078,180","0.22%","166","Analyze"
"HGKGY","Power Assets Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0006","Hong Kong Exchange","Utilities","$12,357,376,980","48.70%","6,919","Analyze"
"YAMCY","Yamaha Corporation Sponsored ADRs","Pink","Japan","JT:7951","Tokyo Stock Exchange","Consumer Discretionary","$12,272,930,452","1.23%","4,630","Analyze"
"STBFY","Suntory Beverage & Food Limited Unsp/Adrs","Pink","Japan","JT:2587","Tokyo Stock Exchange","Consumer Staples","$12,180,780,000","1.82%","30,681","Analyze"
"NPNYY","Nippon Yusen Kabushiki Kaisha Sponsored ADRs","Pink","Japan","JT:9101","Tokyo Stock Exchange","Industrials","$12,099,420,223","2.77%","3,065","Analyze"
"SNMCY","Suncorp Group Limited Sponsored ADRs","Pink","Australia","AT:SUN","Asx - All Markets","Financials","$12,021,269,448","7.04%","111","Analyze"
"SINGY","Singapore Airlns Unsp/Adrs","Pink","Singapore","","","Unknown","$12,013,934,696","0.00%","0","Analyze"
"MONDY","Mondi Plc Unsp/Adrs","Pink","United Kingdom","","","Unknown","$12,006,531,095","1.23%","32,718","Analyze"
"YASKY","Yaskawa Electric Unsp/Adrs","Pink","Japan","","","Unknown","$11,973,736,634","13.36%","0","Analyze"
"BZLFY","Bunzl plc Sponsored ADRs","Pink","United Kingdom","LN:BNZL","London Stock Exchange","Industrials","$11,891,778,449","1.53%","12,846","Analyze"
"BDOUY","BDO Unibank Inc. Sponsored ADRs","Pink","Philippines","PM:BDO","Philippine Stock Exchange Inc.","Financials","$11,870,642,792","4.43%","2,824","Analyze"
"PSMMY","Persimmon Plc Unsp/Adrs","Pink","United Kingdom","","","Unknown","$11,777,989,194","3.18%","11,854","Analyze"
"SSLZY","Santos Limited Sponsored ADRs","Pink","Australia","AT:STO","Asx - All Markets","Energy","$11,509,002,375","1.90%","383","Analyze"
"ALNPY","ANA Holdings Inc. Sponsored ADRs","Pink","Japan","JT:9202","Tokyo Stock Exchange","Industrials","$11,477,757,396","11.50%","660","Analyze"
"ASXFY","Asx Ltd Unsp/Adrs","Pink","Australia","","","Unknown","$11,449,217,881","3.78%","0","Analyze"
"KIROY","Kumba Iron Ore Limited Sponsored ADRs","Pink","South Africa","SJ:KIO","Johannesburg Stock Exchange","Materials","$11,382,518,321","21.29%","6,167","Analyze"
"ICAGY","International Consolidated Airlines Group SA Sponsored ADRs","Pink","Spain","LN:IAG","London Stock Exchange","Industrials","$11,310,556,298","7.41%","657,744","Analyze"
"IFJPY","Informa Plc Sponsored ADRs","Pink","United Kingdom","LN:INF","London Stock Exchange","Communication Services","$11,258,314,902","0.00%","38,823","Analyze"
"NDVLY","New World Development Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0017","Hong Kong Exchange","Real Estate","$10,972,520,626","94.50%","11,207","Analyze"
"BXBLY","Brambles Limited Sponsored ADRs","Pink","Australia","AT:BXB","Asx - All Markets","Industrials","$10,947,974,859","1.35%","64,921","Analyze"
"SKFRY","SKF AB Sponsored ADRs Class B","Pink","Sweden","SS:SKF-B","Nasdaq Omx Nordic","Industrials","$10,833,293,580","2.92%","27,234","Analyze"
"MNBEY","MinebeaMitsumi Inc. Sponsored ADRs","Pink","Japan","JT:6479","Tokyo Stock Exchange","Industrials","$10,770,972,883","55.51%","832","Analyze"
"HLPPY","Hang Lung Properties Limited Sponsored ADRs","Pink","Hong Kong","HK:0101","Hong Kong Exchange","Real Estate","$10,591,259,617","6.54%","36,515","Analyze"
"SNLAY","Sino Land Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0083","Hong Kong Exchange","Real Estate","$10,561,590,016","7.70%","137","Analyze"
"SEOAY","Stora Enso Oyj Sponsored ADRs Class R","Pink","Finland","FH:STERV","Nasdaq Omx Helsinki Ltd.","Materials","$10,342,952,169","1.78%","36,023","Analyze"
"SKBSY","Skanska AB Sponsored ADRs Class B","Pink","Sweden","SS:SKA-B","Nasdaq Omx Nordic","Industrials","$10,337,907,373","3.60%","1,947","Analyze"
"BURBY","Burberry Group plc Sponsored ADRs","Pink","United Kingdom","LN:BRBY","London Stock Exchange","Consumer Discretionary","$10,220,522,903","1.68%","51,130","Analyze"
"ARKAY","Arkema SA Sponsored ADRs","Pink","France","FP:AKE","Euronext Paris","Materials","$10,217,461,779","1.88%","1,403","Analyze"
"CHYHY","Chr. Hansen Holding A/S Sponsored ADRs","Pink","Denmark","DC:CHR","Omx Nordic Exchange Copenhagen A/S","Materials","$10,210,657,290","4.49%","92,095","Analyze"
"DSEEY","Daiwa Securities Group Inc. Sponsored ADRs","Pink","Japan","JT:8601","Tokyo Stock Exchange","Financials","$10,077,316,118","5.55%","3,417","Analyze"
"TMSNY","Temenos AG Sponsored ADRs","Pink","Switzerland","SE:TEMN","Six Swiss Exchange","Information Technology","$9,790,032,673","0.77%","7,457","Analyze"
"KGFHF","Kingfisher PLC ADRs","OTCQX","United Kingdom","LN:KGF","London Stock Exchange","Consumer Discretionary","$9,655,537,361","2.11%","4,077","Analyze"
"KGFHY","Kingfisher Plc Sponsored ADRs","OTCQX","United Kingdom","LN:KGF","London Stock Exchange","Consumer Discretionary","$9,646,208,183","1.02%","55,827","Analyze"
"SLLDY","Sanlam Limited Sponsored ADRs","Pink","South Africa","SJ:SLM","Johannesburg Stock Exchange","Financials","$9,585,511,820","34.84%","6,281","Analyze"
"JSAIY","J Sainsbury Plc Sponsored ADRs","OTCQX","United Kingdom","LN:SBRY","London Stock Exchange","Consumer Staples","$9,545,363,157","0.65%","10,184","Analyze"
"ACCYY","Accor SA Sponsored ADRs","Pink","France","FP:AC","Euronext Paris","Consumer Discretionary","$9,465,481,441","16.92%","98,850","Analyze"
"UUGRY","United Utilities Group PLC Sponsored ADRs","Pink","United Kingdom","LN:UU","London Stock Exchange","Utilities","$9,358,918,537","1.57%","19,775","Analyze"
"ORKLY","Orkla ASA Sponsored ADRs Class A","Pink","Norway","NO:ORK","Oslo Bors Asa","Consumer Staples","$9,353,365,260","29.44%","44,823","Analyze"
"WTBDY","Whitbread PLC Sponsored ADRs","Pink","United Kingdom","LN:WTB","London Stock Exchange","Consumer Discretionary","$9,332,269,577","0.00%","2,147","Analyze"
"JAPSY","Japan Airlines Unsp/Adrs","Pink","Japan","","","Unknown","$9,311,156,550","0.00%","0","Analyze"
"CRZBY","Commerzbank AG Sponsored ADRs","Pink","Germany","GF:CBK","Frankfurt Stock Exchange","Financials","$9,286,231,856","2.90%","21,441","Analyze"
"AGESY","ageas SA/NV Sponsored ADRs","Pink","The Netherlands","BB:AGS","Nyse Euronext - Euronext Brussels","Financials","$9,259,375,714","5.47%","14,105","Analyze"
"STRNY","Severn Trent Plc Sponsored ADRs","Pink","United Kingdom","LN:SVT","London Stock Exchange","Utilities","$9,251,294,541","2.75%","400","Analyze"
"AUCOY","Polymetal International PLC Sponsored ADRs","Pink","Russia","LN:POLY","London Stock Exchange","Materials","$9,085,730,220","6.98%","3,894","Analyze"
"WHGLY","WH Group Ltd. (HK) Sponsored ADRs","Pink","Hong Kong","HK:0288","Hong Kong Exchange","Consumer Staples","$8,727,756,856","0.17%","24,029","Analyze"
"TMRAY","TOMRA Systems ASA Sponsored ADRs","Pink","Norway","NO:TOM","Oslo Bors Asa","Industrials","$8,659,175,850","5.13%","1,564","Analyze"
"HKVTY","HK Electric Investments & HK Electric Investments Ltd. Sponsored ADRs","Pink","Hong Kong","HK:2638","Hong Kong Exchange","Utilities","$8,615,295,000","3.28%","0","Analyze"
"IPSEY","Ipsen SA Sponsored ADRs","Pink","France","FP:IPN","Euronext Paris","Health Care","$8,414,978,410","3.99%","607","Analyze"
"AGRPY","Absa Group Limited Sponsored ADRs","Pink","South Africa","SJ:ABG","Johannesburg Stock Exchange","Financials","$8,401,209,239","15.64%","452","Analyze"
"AHEXY","Adecco Group Ag Unsp/Adrs","Pink","Switzerland","","","Unknown","$8,351,957,862","9.02%","0","Analyze"
"CMSQY","Computershare Limited Sponsored ADRs","Pink","Australia","AT:CPU","Asx - All Markets","Information Technology","$8,298,259,723","2.51%","4,341","Analyze"
"RTMVY","Rightmove Plc Unsp/Adrs","Pink","United Kingdom","","","Unknown","$8,206,373,617","0.39%","15,335","Analyze"
"DLAKY","Deutsche Lufthansa AG Sponsored ADRs","OTCQX","Germany","GF:LHA","Frankfurt Stock Exchange","Industrials","$8,165,166,949","13.65%","40,369","Analyze"
"HLTOY","Hellenic Telecommunications Organization SA Sponsored ADRs","Pink","Greece","GA:HTO","Athens Exchange S.A. Cash Market","Communication Services","$8,120,821,554","7.65%","588","Analyze"
"QABSY","Qantas Airways Ltd Sponsored ADRs","Pink","Australia","AT:QAN","Asx - All Markets","Industrials","$8,113,764,299","0.59%","5,613","Analyze"
"AUKNY","Auckland International Airport Ltd Sponsored ADRs","Pink","New Zealand","NZ:AIA","New Zealand Exchange Ltd","Industrials","$8,049,490,880","0.55%","101","Analyze"
"DNPLY","Dai Nippon Printing Co Ltd Sponsored ADRs","Pink","Japan","JT:7912","Tokyo Stock Exchange","Industrials","$7,956,387,878","2.66%","24,969","Analyze"
"HKMPY","Hikma Pharmaceuticals Plc Sponsored ADRs","Pink","Jordan","LN:HIK","London Stock Exchange","Health Care","$7,907,025,920","0.77%","200","Analyze"
"TMICY","Trend Micro Incorporated Sponsored ADRs","Pink","Japan","JT:4704","Tokyo Stock Exchange","Information Technology","$7,862,143,950","2.53%","3,021","Analyze"
"SMGZY","Smiths Group Plc Sponsored ADRs","Pink","United Kingdom","LN:SMIN","London Stock Exchange","Industrials","$7,842,706,783","1.91%","9,418","Analyze"
"BBSEY","BB Seguridade Participacoes SA Sponsored ADRs","Pink","Brazil","BS:BBSE3","XBSP","Financials","$7,740,000,000","24.88%","131,430","Analyze"
