"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"CNTB","Connect Biopharma Holdings Ltd ADRs","China","PRIVATE","","Health Care","$954,569,305","0.00","0.00","0.46","0.00%","90,440","Analyze"
"RNLX","Renalytix AI PLC ADRs","United Kingdom","LN:RENX","London Stock Exchange","Health Care","$881,925,687","-53.00","865.48","11.71","0.00%","67,590","Analyze"
"DDI","DoubleDown Interactive Co., Ltd. ADRs","South Korea","PRIVATE","","Communication Services","$868,176,269","0.00","0.00","0.00","0.00%","84,468","Analyze"
"SOHU","Sohu.com Limited ADRs","China","PRIVATE","","Communication Services","$866,311,359","8.55","1.03","0.73","0.00%","243,382","Analyze"
"SHI","Sinopec Shanghai Petrochemical ADRs","China","HK:0338","Hong Kong Exchange","Industrials","$863,964,000","4.68","0.04","0.03","6.30%","39,982","Analyze"
"LOMA","Loma Negra Compania Industrial Argentina SA ADRs","Argentina","PRIVATE","","Materials","$851,125,828","7.38","1.64","0.01","3.83%","163,213","Analyze"
"GRCL","Gracell Biotechnologies Inc. ADRs","China","PRIVATE","","Health Care","$830,457,250","0.00","0.00","0.38","0.00%","69,404","Analyze"
"YALA","Yalla Group Ltd ADRs of Class A","United Arab Emirates","PRIVATE","","Information Technology","$826,029,091","52.96","3.82","2.85","0.00%","1,230,011","Analyze"
"ADAP","Adaptimmune Therapeutics ADRs","United Kingdom","PRIVATE","","Health Care","$822,586,126","-5.45","132.16","2.92","0.00%","674,107","Analyze"
"HLG","Hailiang Education Group Inc. ADRs","China","PRIVATE","","Consumer Staples","$809,429,200","1.81","0.46","0.34","0.00%","3,203","Analyze"
"MESO","Mesoblast ADRs","Australia","AT:MSB","Asx - All Markets","Health Care","$796,598,774","-8.18","106.84","1.39","0.00%","97,241","Analyze"
"EH","EHang Holdings Limited ADRs","China","PRIVATE","","Industrials","$794,996,730","0.00","27.54","1.59","0.00%","708,242","Analyze"
"DRD","DRDGold Ltd ADRs","South Africa","SJ:DRD","Johannesburg Stock Exchange","Materials","$792,827,847","8.12","0.69","0.17","2.89%","191,981","Analyze"
"MF","Missfresh Limited ADRs","China","PRIVATE","","Financials","$785,296,984","0.00","0.78","0.56","0.00%","261,671","Analyze"
