"Symbol","Name","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"HYHDF","Hydro66 Holdings Corp.","","","Unknown","Software—Infrastructure","$14,894,094","32,951","Analyze"
"SMOFF","Sonoro Metals Corp.","","","Unknown","Other Precious Metals & Mining","$14,870,369","63,028","Analyze"
"TCNNF","Trulieve Cannabis Corp.","CT:TRUL","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$14,767,854","175,718","Analyze"
"DSNY","Destiny Media Technologies Inc.","","","Communication Services","Software—Application","$14,680,033","11,000","Analyze"
"TGSEF","TGS ESPORTS INC","","","Unknown","","$14,602,560","9,022","Analyze"
"TETOF","TECTONIC METALS INC","","","Unknown","","$14,550,996","3,500","Analyze"
"KNBIF","KANE BIOTECH INC ORD","","","Unknown","","$14,351,692","7,000","Analyze"
"AUMBF","1911 GOLD CORP","","","Unknown","","$14,322,712","0","Analyze"
"LMLLF","PHARMADRUG INC","","","Unknown","","$14,314,288","0","Analyze"
"LQAVF","LIQUID AVATAR TECHNOLGIES","","","Unknown","","$14,297,807","36,052","Analyze"
"CDXFF","CLOUD DX INC","","","Unknown","","$14,274,690","0","Analyze"
"SGGTF","Signature Resources Ltd.","","","Unknown","Gold","$14,223,632","63,212","Analyze"
"HRVOF","Harvest One Cannabis Inc.","CV:HVT","TSX Venture Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$14,222,385","83,412","Analyze"
"ZADDF","Zadar Ventures Ltd.","","","Unknown","Other Industrial Metals & Mining","$14,200,043","4,240","Analyze"
"MCREF","METALS CREEK RES","","","Unknown","","$14,183,394","0","Analyze"
"CMRZF","COMMERCE RES CORP","","","Materials","","$14,178,655","0","Analyze"
"RYPPF","RYU Apparel Inc","","","Consumer Discretionary","Apparel Manufacturing","$14,122,583","22,725","Analyze"
"BARUF","BARU GOLD CORP","","","Unknown","","$13,853,822","0","Analyze"
"MRVFF","NUVO PHARMACEUTICALS ORD","","","Unknown","","$13,774,127","6,601","Analyze"
"OILCF","Permex Petroleum Corp.","","","Energy","Oil & Gas E&P","$13,679,481","50,411","Analyze"
"UGDIF","UNIGOLD INC","","","Materials","","$13,642,356","23,772","Analyze"
"AZZTF","Aztec Minerals Corp.","","","Unknown","Other Industrial Metals & Mining","$13,595,556","29,057","Analyze"
"SNANF","Sona Nanotech Inc.","CF:SONA","Canadian Securities Exchange","Unknown","Medical Instruments & Supplies","$13,462,256","6,174","Analyze"
"DELCF","DELIC HOLDINGS INC","","","Unknown","","$13,421,891","131,454","Analyze"
"PMMCF","PAMPA METALS CORP","","","Unknown","","$13,414,628","30,000","Analyze"
