"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"ARCO","Arcos Dorados Holdings Inc Class A","Uruguay","British Virgin Islands","Consumer Discretionary","Yes","No","$678,663,059","580,391","Analyze"
"PERI","Perion Network Ltd","Israel","","Information Technology","Yes","No","$646,226,548","390,887","Analyze"
"SVA","Sinovac Biotech, Ltd.","China","","Health Care","Yes","No","$642,436,987","0","Analyze"
"MAXN","Maxeon Solar Technologies, Ltd.","Singapore","Singapore","Information Technology","Yes","No","$631,086,073","385,465","Analyze"
"ATC","Atotech Limited","United Kingdom","","Information Technology","Yes","No","$630,597,002","374,264","Analyze"
"AFMD","Affimed N.V.","Germany","The Netherlands","Health Care","Yes","Yes","$624,124,565","1,225,700","Analyze"
"BAMR","Brookfield Asset Management Reinsurance Partners Ltd. Class A","Canada","Bermuda","Financials","Yes","No","$623,199,990","38,036","Analyze"
"ITRN","Ituran Location And Control Ltd","Israel","Israel","Information Technology","Yes","No","$619,751,378","22,935","Analyze"
"SGOC","Sgoco Group, Ltd  (Cayman Islands)","Hong Kong","","Information Technology","Yes","No","$606,540,048","5,243,139","Analyze"
"SB","Safe Bulkers Inc","Greece","Marshall Islands","Industrials","Yes","Yes","$598,636,523","2,231,395","Analyze"
"LXFR","Luxfer Holdings PLC","United Kingdom","United Kingdom","Industrials","No","Yes","$560,387,447","69,704","Analyze"
"DSX","Diana Shipping Inc.","Greece","","Industrials","Yes","No","$559,278,862","1,542,778","Analyze"
"CO","Global Cord Blood Corporation","Hong Kong","Cayman Islands","Consumer Staples","Yes","No","$559,134,945","55,835","Analyze"
"CYD","China Yuchai International Ltd","China","Bermuda","Industrials","Yes","No","$552,812,664","37,460","Analyze"
"PHVS","Pharvaris N.V.","The Netherlands","","Health Care","Yes","No","$549,346,968","32,076","Analyze"
"BTBT","Golden Bull Limited","China","Cayman Islands","Information Technology","Yes","No","$542,208,933","9,416,596","Analyze"
"ALLT","Allot Communications Ltd.","Israel","","Information Technology","Yes","No","$538,169,924","135,108","Analyze"
"NAKD","Naked Brand Group Inc","Australia","Australia","Consumer Discretionary","Yes","No","$532,971,885","47,292,535","Analyze"
"NEWP","New Pacific Metals Corp.","Canada","","Materials","Yes","No","$530,274,119","117,953","Analyze"
"BLX","Banco Latinoamericano De Comercio","Panama","Panama","Financials","Yes","Yes","$517,835,755","130,075","Analyze"
"BIOX","Bioceres Crop Solutions Corp.","Argentina","","Industrials","Yes","No","$516,498,862","21,897","Analyze"
"CGEN","Compugen Ltd.","Israel","Israel","Health Care","Yes","No","$515,256,084","660,207","Analyze"
"EGLX","Enthusiast Gaming Holdings Inc.","Canada","","Communication Services","Yes","No","$502,867,233","530,396","Analyze"
"RADA","Rada Electronic Industries Ltd.","Israel","","Industrials","Yes","No","$499,946,512","271,046","Analyze"
"ACIU","AC Immune SA","Switzerland","Switzerland","Health Care","Yes","No","$499,123,733","5,772,845","Analyze"
"NVGS","Navigator Holdings Ltd","United Kingdom","Marshall Islands","Industrials","Yes","No","$490,187,030","61,842","Analyze"
"RCEL","Avita Medical Limited","Australia","USA","Health Care","No","Yes","$471,278,706","108,142","Analyze"
"ARD","Ardagh Group S.A. Class A","Luxembourg","Luxembourg","Materials","Yes","Yes","$463,815,858","96,099","Analyze"
"ATY","AcuityAds Holdings Inc.","Canada","","Communication Services","Yes","No","$453,967,980","170,447","Analyze"
"CSTE","Caesarstone Ltd","Israel","Israel","Industrials","Yes","Yes","$452,161,696","84,498","Analyze"
"GTX","Garrett Motion Inc.","Switzerland","","Consumer Discretionary","No","No","$446,977,183","358,507","Analyze"
"UROY","Uranium Royalty Corp.","Canada","","Energy","Yes","No","$442,586,994","1,352,170","Analyze"
"KXIN","Kaixin Auto Holdings","China","","Financials","Yes","No","$441,858,325","2,473,448","Analyze"
"IGIC","International General Insurance Holdings Ltd.","Jordan","","Financials","Yes","No","$439,102,189","8,743","Analyze"
"TRIT","Triterras, Inc. - Class A","Singapore","","Information Technology","Yes","No","$429,290,684","232,418","Analyze"
"ABUS","Arbutus Biopharma Corporation","Canada","Canada","Health Care","No","Yes","$427,384,919","3,221,738","Analyze"
"PRQR","ProQR Therapeutics N.V.","The Netherlands","The Netherlands","Health Care","Yes","No","$413,687,634","1,196,078","Analyze"
"TUFN","Tufin Software Technologies Ltd.","Israel","","Information Technology","Yes","No","$409,030,403","274,114","Analyze"
