"Symbol","Name","U.S. Exchange","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"TGA","Transglobe Energy Corporation","NASDAQ Capital Market","CT:TGL","Toronto Stock Exchange","Energy","Oil & Gas E&P","$182,080,598","894,118","Analyze"
"GAU","Galiano Gold Inc.","NYSE American","","","Minerals","Gold","$179,954,762","344,247","Analyze"
"VGFC","The Very Good Food Company Inc.","NASDAQ Capital Market","","","Consumer Staples","Packaged Foods","$171,280,213","979,308","Analyze"
"VEV","Vicinity Motor Corp.","NASDAQ Capital Market","CV:VMC","TSX Venture Exchange","Consumer Discretionary","Auto Manufacturers","$165,867,934","50,749","Analyze"
"TMDI","Titan Medical Inc.","NASDAQ Capital Market","CT:TMD","Toronto Stock Exchange","Health Care","Medical Devices","$165,580,258","324,193","Analyze"
"GSV","Gold Standard Ventures Corporation","NYSE American","CT:GSV","Toronto Stock Exchange","Materials","Gold","$162,625,885","685,059","Analyze"
"BRCN","Burcon NutraScience Corp","NASDAQ Capital Market","","","Consumer Staples","Packaged Foods","$161,827,774","79,473","Analyze"
"NYMX","Nymox Pharmaceutical Corp","NASDAQ Capital Market","","","Health Care","Biotechnology","$161,466,515","66,264","Analyze"
"GPL","Great Panther Silver Limited","NYSE American","CT:GPR","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$157,989,069","1,458,578","Analyze"
"THM","International Tower Hill Mines Ltd","NYSE American","CT:ITH","Toronto Stock Exchange","Materials","Gold","$144,310,019","112,552","Analyze"
"ITRG","Integra Resources Corp.","NYSE American","CV:ITR","TSX Venture Exchange","Materials","Other Precious Metals & Mining","$141,604,655","127,877","Analyze"
"EPSN","Epsilon Energy Ltd.","NASDAQ Global Market","","","Energy","Oil & Gas E&P","$132,708,546","60,194","Analyze"
"SLHG","Skylight Health Group Inc.","NASDAQ Capital Market","CV:SLHG","TSX Venture Exchange","Health Care","Medical Care Facilities","$129,887,129","78,844","Analyze"
"IMV","IMV Inc.","NASDAQ Capital Market","CT:IMV","Toronto Stock Exchange","Health Care","Biotechnology","$129,785,354","222,834","Analyze"
"MDNA","Medicenna Therapeutics Corp.","NASDAQ Capital Market","CT:MDNA","Toronto Stock Exchange","Health Care","Biotechnology","$129,225,084","98,060","Analyze"
"USAS","Americas Silver Corporation","NYSE American","CT:USA","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$126,739,692","1,155,964","Analyze"
"GBNH","Greenbrook TMS Inc.","NASDAQ Capital Market","CT:GTMS","Toronto Stock Exchange","Health Care","Medical Care Facilities","$125,325,270","30,255","Analyze"
"IPA","ImmunoPrecise Antibodies Ltd.","NASDAQ Global Market","CV:IPA","TSX Venture Exchange","Health Care","Biotechnology","$124,002,668","77,261","Analyze"
"ONCY","Oncolytics Biotech Inc.","NASDAQ Capital Market","CT:ONC","Toronto Stock Exchange","Health Care","Biotechnology","$123,109,665","197,340","Analyze"
"BCTX","BriaCell Therapeutics Corp.","NASDAQ Capital Market","","","Health Care","Biotechnology","$120,544,592","2,208,844","Analyze"
"ELYS","Elys Game Technology, Corp.","NASDAQ Capital Market","","","Information Technology","Gambling","$105,711,321","337,517","Analyze"
"DPRO","Draganfly Inc.","NASDAQ Capital Market","","","Industrials","Aerospace & Defense","$97,094,734","256,534","Analyze"
"ASM","Avino Silver & Gold Mines Ltd.","NYSE American","CT:ASM","Toronto Stock Exchange","Information Technology","Silver","$93,041,322","568,551","Analyze"
"NEPT","Neptune Wellness Solutions Inc","NASDAQ Capital Market","CT:NEPT","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$87,819,758","1,201,901","Analyze"
"FURY","Fury Gold Mines Limited","NYSE American","CT:FURY","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$83,893,289","233,984","Analyze"
"AEZS","Aeterna Zentaris Inc.","NASDAQ Capital Market","CT:AEZS","Toronto Stock Exchange","Health Care","Biotechnology","$75,046,458","3,754,059","Analyze"
"VQS","VIQ Solutions Inc.","NASDAQ Capital Market","","","Information Technology","Software—Application","$73,524,590","189,831","Analyze"
"GAME","Engine Media Holdings, Inc.","NASDAQ Capital Market","","","Communication Services","Electronic Gaming & Multimedia","$69,789,457","197,386","Analyze"
"WKSP","Worksport, Ltd","NASDAQ Capital Market","","","Consumer Discretionary","Auto Parts","$67,918,935","412,877","Analyze"
"LMNL","Liminal BioSciences Inc.","NASDAQ Global Market","CT:LMNL","Toronto Stock Exchange","Health Care","Biotechnology","$57,791,609","90,011","Analyze"
"HUGE","FSD Pharma Inc. - Class B Subordinate Voting Shares","NASDAQ Capital Market","CF:HUGE","Canadian Securities Exchange","Communication Services","Drug Manufacturers—Specialty & Generic","$55,427,443","348,934","Analyze"
"AAU","Almaden Minerals Ltd.","NYSE American","CT:AMM","Toronto Stock Exchange","Materials","Gold","$52,144,135","434,388","Analyze"
"NVCN","Neovasc Inc.","NASDAQ Capital Market","CT:NVCN","TSX Venture Exchange","Health Care","Medical Devices","$50,021,197","382,241","Analyze"
"VMAR","Vision Marine Technologies Inc.","NASDAQ Capital Market","","","Consumer Discretionary","Leisure","$49,664,269","26,624","Analyze"
"EXN","Excellon Resources Inc.","NYSE American","CT:EXN","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$47,507,055","54,753","Analyze"
"ACST","Acasti Pharma Inc.","NASDAQ Capital Market","CV:ACST","TSX Venture Exchange","Health Care","Biotechnology","$45,061,213","568,102","Analyze"
"VS","Versus Systems Inc.","NASDAQ Capital Market","CF:VS","Canadian Securities Exchange","Communication Services","Electronic Gaming & Multimedia","$41,430,004","49,552","Analyze"
"BGI","Birks Group Inc.","NYSE American","","","Consumer Discretionary","Luxury Goods","$40,321,697","180,104","Analyze"
"LEXX","Lexaria Bioscience Corp.","NASDAQ Capital Market","CF:LXX","Canadian Securities Exchange","Health Care","Packaged Foods","$34,760,501","115,636","Analyze"
"AGRI","AgriFORCE  Growing Systems Ltd.","NASDAQ Capital Market","","","Consumer Staples","Farm Products","$33,114,112","200,405","Analyze"
"KIQ","Kelso Technologies Inc","NYSE American","CT:KLS","Toronto Stock Exchange","Industrials","Railroads","$33,021,180","256,525","Analyze"
"HSDT","Helius Medical Technologies Inc. Class A","NASDAQ Capital Market","CT:HSM","Toronto Stock Exchange","Health Care","Medical Devices","$31,678,147","8,532","Analyze"
