Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
DSX,Diana Shipping Inc.,Common stocks,Small cap,Greece,Industrials,Marine Shipping,"$506,188,561 ",0.00%,1.04,-19.47,2.92,-11.01,-4.58,1.2,Analyze
DT,"Dynatrace, Inc.",Common stocks,Large cap,USA,Information Technology,Software—Application,"$21,770,648,453 ",0.00%,19.07,290.29,28.73,10.05,6.57,1.82,Analyze
DTC,"Solo Brands, Inc.",Common stocks,Small cap,USA,Unknown,,$0 ,0.00%,0,0,0,0,0,0,Analyze
DTE,DTE Energy,Common stocks,Large cap,USA,Utilities,Utilities—Regulated Electric,"$22,372,491,940 ",3.07%,1.81,16.86,1.65,9.77,10.58,0.54,Analyze
DTEA,Davidstea Inc.,Common stocks,Micro cap,USA,Consumer Staples,Packaged Foods,"$96,477,487 ",0.00%,1.98,-3.99,0,60.83,136.74,1.21,Analyze
DTIL,"Precision BioSciences, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$570,755,123 ",0.00%,5.68,-12.35,5.63,-45.88,-46.25,1.67,Analyze
DTM,"DT Midstream, Inc.",Common stocks,Mid cap,USA,Energy,Oil & Gas Midstream,"$4,858,871,767 ",1.19%,1.26,9.09,3.65,39.91,13.36,0,Analyze
DTOC,Digital Transformation Opportunities Corp. Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$324,829,000 ",0.00%,81.08,0,0,0,1.84,0,Analyze
DTOCU,Digital Transformation Opportunities Corp - Units (1 Ord Class A & 1/4 War),Units,Small cap,USA,Financials,Shell Companies,"$324,829,000 ",0.00%,81.92,0,0,0,1.84,0,Analyze
DTOCW,Digital Transformation Opportunities Corp. Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$324,829,000 ",0.00%,0,0,0,0,114.11,0,Analyze
DTP,DTE Energy Company 6.25% Corporate Units,Units,Large cap,USA,Utilities,Utilities—Regulated Electric,"$22,372,491,940 ",6.06%,0,16.89,1.7,9.9,10.51,0.43,Analyze
DTRT,DTRT Health Acquisition Corp. Class A Common Stock,Common stocks,Small cap,,,,$0 ,0.00%,0,0,0,0,0,0,Analyze
DTRTU,DTRT Health Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),Units,Micro cap,usa,Financials,Shell Companies,"$202,400,000 ",0.00%,0,0,0,0,0,0,Analyze
DTRTW,DTRT Health Acquisition Corp. Warrant,Common stocks,Small cap,,,,$0 ,0.00%,0,0,0,0,0,0,Analyze
DTSS,Datasea Inc.,Common stocks,Micro cap,China,Industrials,Software—Infrastructure,"$44,952,759 ",0.00%,134.67,-10.39,256.67,"-2,654.18","-5,981.75",0.16,Analyze
DTST,Data Storage Corporation,Common stocks,Micro cap,USA,Information Technology,Information Technology Services,"$27,564,081 ",0.00%,1.7,595.12,2.44,1.63,1.6,0,Analyze
DTSTW,Data Storage Corporation Warrant,Warrants,Operating Companies,USA,Information Technology,Information Technology Services,"$27,564,081 ",0.00%,0,-20.04,1.52,1.99,3.13,0,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,USA,Utilities,Utilities—Regulated Electric,"$78,649,382,644 ",3.74%,1.72,27.19,3.22,12.28,6.05,0.34,Analyze
DUNE,Dune Acquisition Corporation - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$170,257,500 ",0.00%,42.54,0,0,0,-1.91,0,Analyze
DUNEU,Dune Acquisition Corporation - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$170,257,500 ",0.00%,44.18,0,0,0,-1.91,0,Analyze
DUNEW,Dune Acquisition Corporation - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$170,257,500 ",0.00%,0,0,0,0,-1.91,0,Analyze
DUO,Fangdd Network Group Ltd. ADRs,ADRs,Micro cap,China,Communication Services,Real Estate Services,"$57,801,704 ",0.00%,0.09,0,0.17,-14.25,-24.47,1.65,Analyze
DUOL,"Duolingo, Inc.",Common stocks,Mid cap,USA,Consumer Discretionary,Software—Application,"$2,024,385,672 ",0.00%,-24.35,-143.95,11.11,-8.69,16.89,0,Analyze
DUOT,"Duos Technologies Group, Inc.",Common stocks,Micro cap,USA,Information Technology,Software—Application,"$21,507,618 ",0.00%,42.12,-3.4,2.73,-82.51,-204.32,1.01,Analyze
DV,"DoubleVerify Holdings, Inc.",Common stocks,Mid cap,USA,Information Technology,Software—Application,"$5,602,139,230 ",0.00%,7.9,810.76,19.74,2.47,0.97,0,Analyze
DVA,Davita Inc,Common stocks,Large cap,USA,Health Care,Medical Care Facilities,"$11,958,728,000 ",0.00%,9.54,14,1.03,7.47,59.04,0.62,Analyze
DVAX,Dynavax Technologies Corp,Common stocks,Mid cap,USA,Health Care,Biotechnology,"$2,092,076,477 ",0.00%,25.93,-379.38,12.37,-3.37,-6.84,2.11,Analyze
DVD,Dover Motorsports Inc,Common stocks,Micro cap,USA,Consumer Discretionary,Leisure,"$43,762,903 ",4.46%,0.51,1.55,0.5,31.55,33.08,0.72,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,USA,Energy,Oil & Gas E&P,"$27,696,070,000 ",1.07%,3.2,98.81,4.24,4.21,3.22,1.67,Analyze
DWAC,Digital World Acquisition Corp. Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$297,639,501 ",0.00%,0,0,0,0,0,0,Analyze
DWACU,Digital World Acquisition Corp - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$297,639,501 ",0.00%,"16,360.00",0,0,0,0,0,Analyze
DWACW,Digital World Acquisition Corp. Warrants,Warrants,Shell Companies,USA,Financials,Shell Companies,$0 ,0.00%,"3,763.33",0,0,0,0,0,Analyze
DWIN,Delwinds Insurance Acquisition Corp. Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$204,876,525 ",0.00%,0,0,0,0,0,0,Analyze
DWIN+,"Delwinds Insurance Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$204,876,525 ",0.00%,0,0,0,0,0,0,Analyze
DWIN=,Delwinds Insurance Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$204,876,525 ",0.00%,0,0,0,0,0,0,Analyze
DWSN,Dawson Geophysical,Common stocks,Micro cap,USA,Energy,Oil & Gas Equipment & Services,"$54,589,878 ",13.85%,0.7,-1.8,1.85,-101.25,-38.74,0.63,Analyze
DX,Dynex Capital Inc.,Mortgage REITs,Small cap,USA,Financials,REIT—Mortgage,"$620,918,053 ",8.30%,0.95,4.37,3.46,86.67,20.56,0.48,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,USA,Information Technology,Information Technology Services,"$8,776,343,791 ",0.00%,1.75,26.37,0.51,1.92,6.2,1.38,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,USA,Health Care,Diagnostics & Research,"$53,844,633,363 ",0.00%,27.5,103.59,24.81,24.45,26.56,1.21,Analyze
DXF,Dunxin Financial Holdings Limited ADRs,ADRs,Micro cap,China,Financials,Credit Services,"$34,763,848 ",0.00%,0.09,3.3,1.48,53.52,15.59,2.3,Analyze
DXLG,"Destination XL Group, Inc",Common stocks,Small cap,USA,Consumer Discretionary,Apparel Retail,"$413,071,269 ",0.00%,11.96,-121.08,0.97,1.72,21.14,0,Analyze
DXPE,Dxp Enterprises Inc,Common stocks,Small cap,USA,Industrials,Industrial Distribution,"$631,139,490 ",0.00%,1.91,-22.29,0.64,-2.86,-8.15,1.65,Analyze
DXR,Daxor Corp,Common stocks,Micro cap,USA,Health Care,Asset Management,"$43,928,921 ",0.00%,3.06,-21.2,76.09,-725.03,-28.88,0,Analyze
DXYN,Dixie Group Inc Class A,Common stocks,Micro cap,USA,Consumer Discretionary,Textile Manufacturing,"$69,147,816 ",0.00%,1.12,40.42,0.19,0.51,2.84,2.04,Analyze
DY,Dycom Industries Inc,Common stocks,Mid cap,USA,Industrials,Engineering & Construction,"$2,305,637,252 ",0.00%,2.98,47.73,0.75,1.59,6.25,1.63,Analyze
DYAI,"Dyadic International, Inc.",Common stocks,Micro cap,USA,Health Care,Biotechnology,"$131,691,246 ",0.00%,5.49,-10.96,60.97,-537.1,-50.09,1.22,Analyze
DYN,"Dyne Therapeutics, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$727,128,620 ",0.00%,1.63,0,0,0,-21.54,1,Analyze
DYNS,Dynamics Special Purpose Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$238,103,620 ",0.00%,59.41,0,0,0,-865.02,0,Analyze
DYNT,Dynatronics Corporation,Common stocks,Micro cap,USA,Health Care,Medical Devices,"$30,497,158 ",0.00%,1.53,26.24,0.64,4.19,7.84,0.85,Analyze
DZSI,"DASAN Zhone Solutions, Inc.",Common stocks,Small cap,USA,Information Technology,Communication Equipment,"$315,499,259 ",0.00%,2.39,-7.78,0.91,-11.74,-30.69,1.2,Analyze
E,ENI SpA ADRs,ADRs,Large cap,Italy,Energy,Oil & Gas Integrated,"$51,884,509,863 ",5.42%,1.25,0,0.83,-0.37,-0.49,0.91,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,USA,Communication Services,Electronic Gaming & Multimedia,"$39,613,787,534 ",0.49%,5.19,59.2,6.92,11.82,8.75,0.52,Analyze
EAC,Edify Acquisition Corp. Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$269,652,000 ",0.00%,0,0,0,0,0,0,Analyze
EACPU,Edify Acquisition Corp - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$269,652,000 ",0.00%,68.9,0,0,0,2.19,0,Analyze
EACPW,Edify Acquisition Corp. Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$269,652,000 ",0.00%,0,0,0,0,2.19,0,Analyze
EAF,Graftech International Ltd.,Common stocks,Mid cap,USA,Industrials,Electrical Equipment & Parts,"$2,984,191,577 ",0.36%,-4.54,8.58,2.37,27.48,-196.13,1.61,Analyze
